evaluation,objective,weight_norm
1,1.5463717648125013,7.246881823545967
2,1.4615462633566332,7.0171405508129965
3,1.472536492024545,6.990102925803189
4,1.465856423356028,7.38176621290976
5,1.4576533608896702,7.152475921644382
6,1.4654860532774858,6.938986185253332
7,1.4715068375936668,6.884017817432944
8,1.469998860411123,7.541861585726736
9,1.4597773268006455,7.229166506566023
10,0.9375670876786044,7.325061455530271
11,0.9322017738360906,7.416572718215052
12,0.9332962782596521,7.162108442523248
13,0.9419286238187677,7.613740214300683
14,0.9351747646390788,7.113396965582817
15,0.9427034349539145,7.156833570799911
16,0.9348973819845874,7.51674398552353
17,0.936811980665626,7.835786534752593
18,0.9790531123744565,7.697411687174052
19,0.9521703519756878,7.522754053129988
20,0.9311775765053024,7.397724602859341
21,0.9037321525318905,7.462260161403384
22,0.9067421161905426,7.516386204922685
23,0.9041558466843707,7.464271078813753
24,0.9115160480971601,7.437815666289876
25,0.9040751962451115,7.44920964177296
26,0.9041398362803232,7.5079850530132966
27,0.9031894379041109,7.460128630213868
28,0.9095344276529904,7.447441048716829
29,0.9062657307439533,7.475923163068107
30,0.8993121168266294,7.476458030240235
31,0.9086851793131773,7.457016921669251
32,0.9005701710026486,7.468745991272147
33,0.9101528542143751,7.47513882526054
34,0.9060263444118373,7.462307467585335
35,0.9108812217001298,7.525906483486794
36,0.9052013888832932,7.462723536836177
37,0.9016220392447014,7.4623524151634735
38,0.8991702773643191,7.460880065958096
39,0.9044945369979775,7.445152359381743
40,0.9063636471959144,7.437975175690677
