method,budget,pairwise_jaccard_mean,pairwise_jaccard_std,features_with_frequency_ge_0_80,stable_signature
mutual_information,8,0.7955555555555555,0.1290211790616744,7,True
mutual_information,6,0.8476190476190478,0.14414999403128942,5,True
mutual_information,4,0.9199999999999999,0.1618079669911781,4,True
wrapper_rfe,8,0.9120987654320989,0.11701060946990989,8,True
wrapper_rfe,6,0.8476190476190477,0.14414999403128942,5,True
wrapper_rfe,4,0.6918518518518519,0.212388480012923,3,True
permutation_importance,8,0.5068082534749203,0.18882242583883432,3,False
permutation_importance,6,0.5035978835978836,0.2015354263962507,3,False
permutation_importance,4,0.6402116402116403,0.23669622651016484,3,True
