method,feature,mean_rank,rank_std,selection_frequency_8,jaccard_mean_8,selection_frequency_6,jaccard_mean_6,selection_frequency_4,jaccard_mean_4
mutual_information,age,19.7,2.2135943621178655,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,bp,13.3,2.7507574714370344,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,sg,5.0,0.4714045207910317,1.0,0.7955555555555555,1.0,0.8476190476190478,0.1,0.9199999999999999
mutual_information,al,6.6,1.2649110640673518,0.9,0.7955555555555555,0.7,0.8476190476190478,0.0,0.9199999999999999
mutual_information,su,19.8,3.22490309931942,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,rbc,20.2,2.3944379994757297,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,pc,16.1,1.66332999331662,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,pcc,21.3,2.496664441476534,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,ba,21.6,2.590581230363393,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,bgr,12.5,0.8498365855987975,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,bu,10.6,0.699205898780101,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,sc,3.7,0.6749485577105528,1.0,0.7955555555555555,1.0,0.8476190476190478,0.9,0.9199999999999999
mutual_information,sod,8.0,1.4907119849998598,0.8,0.7955555555555555,0.1,0.8476190476190478,0.0,0.9199999999999999
mutual_information,pot,10.0,1.5634719199411433,0.2,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,hemo,1.0,0.0,1.0,0.7955555555555555,1.0,0.8476190476190478,1.0,0.9199999999999999
mutual_information,pcv,2.1,0.31622776601683794,1.0,0.7955555555555555,1.0,0.8476190476190478,1.0,0.9199999999999999
mutual_information,wc,15.9,2.1317702607092643,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,rc,3.3,0.6749485577105528,1.0,0.7955555555555555,1.0,0.8476190476190478,1.0,0.9199999999999999
mutual_information,htn,7.9,1.7288403306519922,0.7,0.7955555555555555,0.1,0.8476190476190478,0.0,0.9199999999999999
mutual_information,dm,8.3,1.2516655570345725,0.4,0.7955555555555555,0.1,0.8476190476190478,0.0,0.9199999999999999
mutual_information,cad,21.9,2.1317702607092643,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
mutual_information,appet,15.7,2.5407785333546005,0.0,0.7955555555555555,0.0,0.8476190476190478,0.0,0.9199999999999999
