repeat,fold,representation,budget,train_n,valid_n,pca_components,pca_fit_n,pca_explained_variance,model,feature_map_config,kernel_backend,execution_mode,qubit_count,circuit_depth,gate_count,reps,entanglement,shots,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,training_wall_seconds,model_fit_seconds,prediction_wall_seconds,train_kernel_seconds,inference_kernel_seconds,kernel_evaluations_train,kernel_evaluations_inference,train_kernel_rows,train_kernel_columns,inference_kernel_rows,inference_kernel_columns,feature_map,feature_count,parameter_count,depth_definition,seed,feature_map_construction_seconds
2,4,pca,8,256,64,8,256,0.8163091705249371,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,8,2,16,1,none,,0.859375,1.0,0.625,0.8163265306122449,0.898876404494382,0.9614583333333333,0.9787559944999581,15,9,0,40,0.3206489580043126,0.0008690829999977723,0.13688883300346788,0.3197798750043148,0.1366492079978343,32640,16384,256,256,64.0,256.0,ZFeatureMap,8.0,8.0,logical depth after one decomposition of the library feature-map circuit,20260832.0,0.0005141250003362074
2,5,pca,8,256,64,8,256,0.8165975197729608,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.0007057500042719766,0.0007057500042719766,0.00022337499831337482,0.0,0.0,0,0,256,8,,,,,,,,
2,5,pca,8,256,64,8,256,0.8165975197729608,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,8,2,16,1,none,,0.9375,1.0,0.8333333333333334,0.9090909090909091,0.9523809523809523,0.996875,0.9982558139534884,20,4,0,40,0.36164475000987295,0.0008150840149028227,0.10666879199561663,0.36082966599497013,0.10643537499709055,32640,16384,256,256,64.0,256.0,ZFeatureMap,8.0,8.0,logical depth after one decomposition of the library feature-map circuit,20260833.0,0.00048216700088232756
1,1,pca,6,256,64,6,256,0.7173282295673812,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0006822910072514787,0.0006822910072514787,0.00023187499027699232,0.0,0.0,0,0,256,6,,,,,,,,
1,1,pca,6,256,64,6,256,0.7173282295673812,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.921875,0.95,0.875,0.926829268292683,0.9382716049382716,0.9760416666666667,0.986987358322762,21,3,2,38,0.37187662499491125,0.0006659999926341698,0.09354820899898186,0.3712106250022771,0.09321387500676792,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260824.0,0.0004506670084083453
1,2,pca,6,256,64,6,256,0.7248536959009667,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.0006833329971414059,0.0006833329971414059,0.0002362079976592213,0.0,0.0,0,0,256,6,,,,,,,,
1,2,pca,6,256,64,6,256,0.7248536959009667,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.875,0.95,0.75,0.8636363636363636,0.9047619047619048,0.9708333333333333,0.984002786012933,18,6,2,38,0.3281064159964444,0.0006059989827917889,0.09475516699603759,0.3275004170136526,0.09432408299471717,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260825.0,0.0004535830084932968
1,3,pca,6,256,64,6,256,0.7229061243485175,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.0011252919939579442,0.0011252919939579442,0.00022587500279769301,0.0,0.0,0,0,256,6,,,,,,,,
1,3,pca,6,256,64,6,256,0.7229061243485175,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.90625,0.925,0.875,0.925,0.925,0.9635416666666667,0.9829516391536852,21,3,3,37,0.29322858300292864,0.0006932909891474992,0.12826141700497828,0.29253529201378115,0.12804049999976996,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260826.0,0.0004608330054907128
1,4,pca,6,256,64,6,256,0.7284847796159973,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0006903750036144629,0.0006903750036144629,0.00022637499205302447,0.0,0.0,0,0,256,6,,,,,,,,
1,4,pca,6,256,64,6,256,0.7284847796159973,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.890625,0.95,0.7916666666666666,0.8837209302325582,0.9156626506024096,0.9802083333333332,0.9906776094276093,19,5,2,38,0.33059150000917725,0.00060450000455603,0.09339970900327899,0.3299870000046212,0.09318275000259746,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260827.0,0.00046133399882819504
1,5,pca,6,256,64,6,256,0.7235546434615449,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.999390243902439,24,0,1,39,0.0006832910003140569,0.0006832910003140569,0.00022937500034458935,0.0,0.0,0,0,256,6,,,,,,,,
1,5,pca,6,256,64,6,256,0.7235546434615449,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.90625,0.9,0.9166666666666666,0.9473684210526315,0.9230769230769231,0.9645833333333333,0.9785678460728948,22,2,4,36,0.2952397080080118,0.0006819160043960437,0.12771095900097862,0.29455779200361576,0.12749254200025462,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260828.0,0.00042704200313892215
2,1,pca,6,256,64,6,256,0.7292993589437727,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.0006771250045858324,0.0006771250045858324,0.00022483400243800133,0.0,0.0,0,0,256,6,,,,,,,,
2,1,pca,6,256,64,6,256,0.7292993589437727,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.90625,0.95,0.8333333333333334,0.9047619047619048,0.926829268292683,0.98125,0.9900912955376415,20,4,2,38,0.3283482910046587,0.0005879990058019757,0.0962798330001533,0.3277602919988567,0.09607445899746381,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260829.0,0.0004415000003064051
2,2,pca,6,256,64,6,256,0.7322546161448656,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9989583333333334,0.999390243902439,24,0,2,38,0.0006809589976910502,0.0006809589976910502,0.00022670801263302565,0.0,0.0,0,0,256,6,,,,,,,,
2,2,pca,6,256,64,6,256,0.7322546161448656,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.875,0.85,0.9166666666666666,0.9444444444444444,0.8947368421052632,0.9520833333333333,0.9768752953851656,22,2,6,34,0.3293922080047196,0.0005757489998359233,0.09508983300474938,0.32881645900488365,0.09488041698932648,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260830.0,0.00043891700624953955
2,3,pca,6,256,64,6,256,0.7142015331689588,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0006905000045662746,0.0006905000045662746,0.00023383399820886552,0.0,0.0,0,0,256,6,,,,,,,,
2,3,pca,6,256,64,6,256,0.7142015331689588,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.859375,0.95,0.7083333333333334,0.8444444444444444,0.8941176470588236,0.975,0.9870816771880602,17,7,2,38,0.2977731659921119,0.0006402489962056279,0.12975474999984726,0.29713291699590627,0.12952916699578054,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260831.0,0.000444290999439545
2,4,pca,6,256,64,6,256,0.7221798208995446,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0006947089859750122,0.0006947089859750122,0.00022937500034458935,0.0,0.0,0,0,256,6,,,,,,,,
2,4,pca,6,256,64,6,256,0.7221798208995446,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.828125,0.95,0.625,0.8085106382978723,0.8735632183908046,0.8739583333333334,0.8906170413232537,15,9,2,38,0.3285827910003718,0.0006524159980472177,0.09461233299225569,0.3279303750023246,0.09439191699493676,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260832.0,0.00043154199374839664
2,5,pca,6,256,64,6,256,0.7175494407453391,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0006846249889349565,0.0006846249889349565,0.00022950000129640102,0.0,0.0,0,0,256,6,,,,,,,,
2,5,pca,6,256,64,6,256,0.7175494407453391,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,6,2,12,1,none,,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,0.9937499999999999,0.9962099277559804,22,2,0,40,0.290232624989585,0.0006569579854840413,0.12678400000731926,0.289575667004101,0.12656537498696707,32640,16384,256,256,64.0,256.0,ZFeatureMap,6.0,6.0,logical depth after one decomposition of the library feature-map circuit,20260833.0,0.00044833299762103707
1,1,pca,4,256,64,4,256,0.5966428601536372,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0007040420023258775,0.0007040420023258775,0.00021516598644666374,0.0,0.0,0,0,256,4,,,,,,,,
1,1,pca,4,256,64,4,256,0.5966428601536372,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.84375,0.825,0.875,0.9166666666666666,0.868421052631579,0.9197916666666667,0.9601049879200627,21,3,7,33,0.29432591699878685,0.0005648759979521856,0.08525999999255873,0.29376104100083467,0.0850705419870792,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260824.0,0.00043066700163763016
1,2,pca,4,256,64,4,256,0.5996425922294615,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,0.9989583333333334,0.999390243902439,23,1,0,40,0.0006287080032052472,0.0006287080032052472,0.0002062499988824129,0.0,0.0,0,0,256,4,,,,,,,,
1,2,pca,4,256,64,4,256,0.5996425922294615,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.859375,0.925,0.75,0.8604651162790697,0.891566265060241,0.9375,0.9670304703151663,18,6,3,37,0.2562915840098867,0.0005842500104336068,0.11887745899730362,0.2557073339994531,0.11867258400889114,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260825.0,0.0003982500056736171
1,3,pca,4,256,64,4,256,0.6007881127229301,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.0006352079944917932,0.0006352079944917932,0.0002009169984376058,0.0,0.0,0,0,256,4,,,,,,,,
1,3,pca,4,256,64,4,256,0.6007881127229301,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.90625,0.925,0.875,0.925,0.925,0.9510416666666666,0.9778039470917379,21,3,3,37,0.2952853330061771,0.0005628750077448785,0.08868037500360515,0.2947224579984322,0.08847099999547936,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260826.0,0.00038733400288037956
1,4,pca,4,256,64,4,256,0.5956438214246548,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0006493749970104545,0.0006493749970104545,0.0002153329987777397,0.0,0.0,0,0,256,4,,,,,,,,
1,4,pca,4,256,64,4,256,0.5956438214246548,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.9375,0.95,0.9166666666666666,0.95,0.95,0.9822916666666666,0.9910256410256411,22,2,2,38,0.2900459999946179,0.0005665839853463694,0.08539962499344256,0.2894794160092715,0.08511008300411049,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260827.0,0.00041787500958889723
1,5,pca,4,256,64,4,256,0.6055201949975693,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.000639208999928087,0.000639208999928087,0.00021204199583735317,0.0,0.0,0,0,256,4,,,,,,,,
1,5,pca,4,256,64,4,256,0.6055201949975693,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.90625,0.875,0.9583333333333334,0.9722222222222222,0.9210526315789473,0.953125,0.9776516521287033,23,1,5,35,0.2551021669933107,0.0005377919878810644,0.12027012500038836,0.2545643750054296,0.1200714590086136,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260828.0,0.0004065000102855265
2,1,pca,4,256,64,4,256,0.6037407673277425,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0006304169946815819,0.0006304169946815819,0.0002112500078510493,0.0,0.0,0,0,256,4,,,,,,,,
2,1,pca,4,256,64,4,256,0.6037407673277425,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.921875,0.95,0.875,0.926829268292683,0.9382716049382716,0.9697916666666667,0.9828144578725988,21,3,2,38,0.2960995409957832,0.0005744160007452592,0.08478537500195671,0.2955251249950379,0.0845899589912733,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260829.0,0.00038929100264795125
2,2,pca,4,256,64,4,256,0.6046615021503683,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9979166666666666,0.9988095238095238,24,0,2,38,0.0006174160080263391,0.0006174160080263391,0.00020141599816270173,0.0,0.0,0,0,256,4,,,,,,,,
2,2,pca,4,256,64,4,256,0.6046615021503683,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.859375,0.825,0.9166666666666666,0.9428571428571428,0.88,0.9020833333333333,0.9556176648616709,22,2,7,33,0.2534408329956932,0.0005762079963460565,0.1197060000122292,0.25286462499934714,0.11946916600572877,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260830.0,0.00039933400694280863
2,3,pca,4,256,64,4,256,0.597160610367964,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.0007628749881405383,0.0007628749881405383,0.0002275000006193295,0.0,0.0,0,0,256,4,,,,,,,,
2,3,pca,4,256,64,4,256,0.597160610367964,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.875,0.925,0.7916666666666666,0.8809523809523809,0.9024390243902439,0.9677083333333334,0.9822721400491814,19,5,3,37,0.29081720899557695,0.0005353759916033596,0.08654279199254233,0.2902818330039736,0.08633725000254344,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260831.0,0.0004032500000903383
2,4,pca,4,256,64,4,256,0.6032361339505379,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.000618582998868078,0.000618582998868078,0.00020066699653398246,0.0,0.0,0,0,256,4,,,,,,,,
2,4,pca,4,256,64,4,256,0.6032361339505379,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.8125,0.9,0.6666666666666666,0.8181818181818182,0.8571428571428571,0.896875,0.941385876162516,16,8,4,36,0.29760341699875426,0.0006744580023223534,0.0872208340006182,0.2969289589964319,0.08700437500374392,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260832.0,0.00040179200004786253
2,5,pca,4,256,64,4,256,0.5903676060048118,classical_rbf_svm,rbf,scikit-learn libsvm RBF,classical CPU,0,0,0,0,none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0006286249990807846,0.0006286249990807846,0.00020945799769833684,0.0,0.0,0,0,256,4,,,,,,,,
2,5,pca,4,256,64,4,256,0.5903676060048118,qsvc,z_reps1,qiskit.quantum_info.Statevector (cached exact overlap),ideal exact statevector,4,2,8,1,none,,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,0.9968750000000001,0.9981242182614134,22,2,0,40,0.25814645799982827,0.0005964580050203949,0.12073758400219958,0.2575499999948079,0.120532834000187,32640,16384,256,256,64.0,256.0,ZFeatureMap,4.0,4.0,logical depth after one decomposition of the library feature-map circuit,20260833.0,0.00039895800000522286
