representation,budget,repeat,fold,metric,delta_qsvc_minus_classical
pca,8,1,4,sensitivity,-0.025000000000000022
pca,8,1,5,sensitivity,0.0
pca,8,2,1,sensitivity,0.025000000000000022
pca,8,2,2,sensitivity,-0.04999999999999993
pca,8,2,3,sensitivity,-0.025000000000000022
pca,8,2,4,sensitivity,0.0
pca,8,2,5,sensitivity,0.025000000000000022
pca,8,1,1,specificity,-0.25
pca,8,1,2,specificity,-0.29166666666666663
pca,8,1,3,specificity,-0.20833333333333337
pca,8,1,4,specificity,-0.16666666666666663
pca,8,1,5,specificity,-0.125
pca,8,2,1,specificity,-0.20833333333333337
pca,8,2,2,specificity,-0.20833333333333337
pca,8,2,3,specificity,-0.33333333333333337
pca,8,2,4,specificity,-0.375
pca,8,2,5,specificity,-0.16666666666666663
pca,8,1,1,roc_auc,-0.011458333333333237
pca,8,1,2,roc_auc,-0.01041666666666674
pca,8,1,3,roc_auc,-0.039583333333333304
pca,8,1,4,roc_auc,-0.01041666666666663
pca,8,1,5,roc_auc,-0.019791666666666652
pca,8,2,1,roc_auc,0.0
pca,8,2,2,roc_auc,-0.055208333333333304
pca,8,2,3,roc_auc,-0.012499999999999956
pca,8,2,4,roc_auc,-0.038541666666666696
pca,8,2,5,roc_auc,-0.0031250000000000444
pca,8,1,1,f1,-0.08235294117647063
pca,8,1,2,f1,-0.08045977011494254
pca,8,1,3,f1,-0.07191994996873041
pca,8,1,4,f1,-0.06024096385542166
pca,8,1,5,f1,-0.03612225995677687
pca,8,2,1,f1,-0.0461653015636635
pca,8,2,2,f1,-0.0854700854700855
pca,8,2,3,f1,-0.10344827586206895
pca,8,2,4,f1,-0.101123595505618
pca,8,2,5,f1,-0.03496081977094645
pca,6,1,1,sensitivity,-0.050000000000000044
pca,6,1,2,sensitivity,-0.050000000000000044
pca,6,1,3,sensitivity,-0.04999999999999993
pca,6,1,4,sensitivity,-0.050000000000000044
pca,6,1,5,sensitivity,-0.07499999999999996
pca,6,2,1,sensitivity,-0.025000000000000022
pca,6,2,2,sensitivity,-0.09999999999999998
pca,6,2,3,sensitivity,-0.050000000000000044
pca,6,2,4,sensitivity,-0.050000000000000044
pca,6,2,5,sensitivity,0.0
pca,6,1,1,specificity,-0.125
pca,6,1,2,specificity,-0.20833333333333337
pca,6,1,3,specificity,-0.125
pca,6,1,4,specificity,-0.20833333333333337
pca,6,1,5,specificity,-0.08333333333333337
pca,6,2,1,specificity,-0.16666666666666663
pca,6,2,2,specificity,-0.08333333333333337
pca,6,2,3,specificity,-0.29166666666666663
pca,6,2,4,specificity,-0.375
pca,6,2,5,specificity,-0.08333333333333337
pca,6,1,1,roc_auc,-0.023958333333333304
pca,6,1,2,roc_auc,-0.029166666666666674
pca,6,1,3,roc_auc,-0.03645833333333326
pca,6,1,4,roc_auc,-0.019791666666666763
pca,6,1,5,roc_auc,-0.034375000000000044
pca,6,2,1,roc_auc,-0.018750000000000044
pca,6,2,2,roc_auc,-0.04687500000000011
pca,6,2,3,roc_auc,-0.025000000000000022
pca,6,2,4,roc_auc,-0.1260416666666666
pca,6,2,5,roc_auc,-0.006250000000000089
pca,6,1,1,f1,-0.06172839506172845
pca,6,1,2,f1,-0.0828924162257495
pca,6,1,3,f1,-0.06234177215189873
pca,6,1,4,f1,-0.08433734939759041
pca,6,1,5,f1,-0.06426484907497565
pca,6,2,1,f1,-0.060512503859215805
pca,6,2,2,f1,-0.07962213225371118
pca,6,2,3,f1,-0.10588235294117643
pca,6,2,4,f1,-0.12643678160919536
pca,6,2,5,f1,-0.024390243902439046
pca,4,1,1,sensitivity,-0.17500000000000004
pca,4,1,2,sensitivity,-0.07499999999999996
pca,4,1,3,sensitivity,-0.04999999999999993
pca,4,1,4,sensitivity,-0.050000000000000044
pca,4,1,5,sensitivity,-0.125
pca,4,2,1,sensitivity,-0.050000000000000044
pca,4,2,2,sensitivity,-0.125
pca,4,2,3,sensitivity,-0.07499999999999996
pca,4,2,4,sensitivity,-0.09999999999999998
pca,4,2,5,sensitivity,0.0
pca,4,1,1,specificity,-0.125
pca,4,1,2,specificity,-0.20833333333333337
pca,4,1,3,specificity,-0.125
pca,4,1,4,specificity,-0.08333333333333337
pca,4,1,5,specificity,0.0
pca,4,2,1,specificity,-0.125
pca,4,2,2,specificity,-0.08333333333333337
pca,4,2,3,specificity,-0.16666666666666674
pca,4,2,4,specificity,-0.33333333333333337
pca,4,2,5,specificity,-0.08333333333333337
pca,4,1,1,roc_auc,-0.08020833333333333
pca,4,1,2,roc_auc,-0.06145833333333339
pca,4,1,3,roc_auc,-0.04895833333333344
pca,4,1,4,roc_auc,-0.017708333333333437
pca,4,1,5,roc_auc,-0.046875
pca,4,2,1,roc_auc,-0.03020833333333328
pca,4,2,2,roc_auc,-0.09583333333333321
pca,4,2,3,roc_auc,-0.03229166666666661
pca,4,2,4,roc_auc,-0.10312500000000002
pca,4,2,5,roc_auc,-0.0031249999999999334
pca,4,1,1,f1,-0.13157894736842102
pca,4,1,2,f1,-0.09608805592741332
pca,4,1,3,f1,-0.06234177215189873
pca,4,1,4,f1,-0.050000000000000044
pca,4,1,5,f1,-0.06660168940870692
pca,4,2,1,f1,-0.06172839506172845
pca,4,2,2,f1,-0.09435897435897433
pca,4,2,3,f1,-0.08521529659741034
pca,4,2,4,f1,-0.1428571428571429
pca,4,2,5,f1,-0.024390243902439046
