condition,changed_cell_pct,sensitivity,specificity,roc_auc,pr_auc,tn,fp,fn,tp,auc_change_vs_frozen
none (frozen external result),0.0,0.9921104536489151,0.010395010395010396,0.5253806378066733,0.5445994910351473,5,476,4,503,0.0
UCI development min/max,0.0,0.9921104536489151,0.010395010395010396,0.5253806378066733,0.5445994910351473,5,476,4,503,0.0
UCI development p1/p99,0.2909919028340081,0.9921104536489151,0.010395010395010396,0.5255405610435196,0.5446887406945089,5,476,4,503,0.0001599232368463266
±3 transformed SD,0.0,0.9921104536489151,0.010395010395010396,0.5253806378066733,0.5445994910351473,5,476,4,503,0.0
