feature,uci_auc,uci_ci95,bd_auc,bd_ci95,uci_direction,bd_direction,classification,interpretation
hemo,0.031232979302832246,"[0.016, 0.049]",0.49441908909364524,"[0.459, 0.531]",negative (raw numeric; increasing value),uncertain / includes random orientation,FLATTENED,Strong UCI association is not distinguishable from random orientation in BD-KDD.
al,0.8708133971291866,"[0.840, 0.900]",0.49812397741391823,"[0.463, 0.533]",positive (raw numeric; increasing value),uncertain / includes random orientation,FLATTENED,Strong UCI association is not distinguishable from random orientation in BD-KDD.
dm,0.774,"[0.744, 0.806]",0.5022655791886561,"[0.471, 0.534]",positive (binary indicator: yes=1),uncertain / includes random orientation,FLATTENED,Strong UCI association is not distinguishable from random orientation in BD-KDD.
sg,0.07866379310344826,"[0.054, 0.107]",0.5170871827676562,"[0.481, 0.551]",negative (raw numeric; increasing value),uncertain / includes random orientation,FLATTENED,Strong UCI association is not distinguishable from random orientation in BD-KDD.
pcv,0.04755221199191556,"[0.027, 0.072]",0.4708386128504472,"[0.435, 0.508]",negative (raw numeric; increasing value),uncertain / includes random orientation,FLATTENED,Strong UCI association is not distinguishable from random orientation in BD-KDD.
appet,0.664,"[0.634, 0.694]",0.5152993229916307,"[0.484, 0.546]",positive (binary indicator: poor=1),uncertain / includes random orientation,FLATTENED,Strong UCI association is not distinguishable from random orientation in BD-KDD.
htn,0.794,"[0.762, 0.824]",0.5053041206887361,"[0.474, 0.537]",positive (binary indicator: yes=1),uncertain / includes random orientation,FLATTENED,Strong UCI association is not distinguishable from random orientation in BD-KDD.
sc,0.9226745870762099,"[0.895, 0.947]",0.5182353495962964,"[0.483, 0.555]",positive (raw numeric; increasing value),uncertain / includes random orientation,FLATTENED,Strong UCI association is not distinguishable from random orientation in BD-KDD.
