condition,fit_scope,external_use,train_min,train_max,external_min,external_max,sensitivity,specificity,roc_auc,pr_auc,tn,fp,fn,tp,auc_change_vs_original_frozen
"MinMax clipped to [−π/4, π/4]",UCI development only,one post-hoc BD-KDD evaluation,-0.7853981633974483,0.7853981633974483,-0.7853981633974483,0.7853981633974483,0.9861932938856016,0.006237006237006237,0.499190132326227,0.52227180401909,3,478,7,500,-0.026190505480446324
"RobustScaler + tanh to (−π/4, π/4)",UCI development only,one post-hoc BD-KDD evaluation,-0.781514176025458,0.7853981633974483,-0.781514176025458,0.7853977699890351,1.0,0.0,0.4989440965772327,0.504801216304818,0,481,0,507,-0.026436541229440613
"UCI quantile map to [−π/4, π/4]",UCI development only,one post-hoc BD-KDD evaluation,-0.7853981633974483,0.7853981633974483,-0.7853981633974483,0.7853981633974483,1.0,0.0,0.4995837895246179,0.5075549648132857,0,481,0,507,-0.025796848282055418
