removed_feature,dimensions,external_auc,sensitivity,specificity,kernel_target_alignment_uci,external_geometry_auc,same_minus_different_similarity,auc_change_vs_8_feature_diagnostic
none (8-feature diagnostic replay),8,0.5253806378066733,0.9921104536489151,0.010395010395010396,0.4889210556866056,0.5118158668454527,0.00037449531232376654,0.0
hemo,7,0.5122669323852755,0.9901380670611439,0.016632016632016633,0.537707809380406,0.506234955939098,0.0005770581228065792,-0.013113705421397781
al,7,0.5211529235197874,0.9763313609467456,0.029106029106029108,0.4562212806593595,0.5111269667482685,0.00010558758580078015,-0.004227714286885953
dm,7,0.5191231285905842,0.9743589743589743,0.02702702702702703,0.46762505262630094,0.5107046053791616,-0.00029511100725575744,-0.006257509216089141
sg,7,0.5283494691778716,0.9881656804733728,0.008316008316008316,0.5345098143236243,0.5069935661651638,0.000468246779715506,0.0029688313711982994
pcv,7,0.519910442987366,0.9921104536489151,0.016632016632016633,0.5742921781853612,0.5003177961757843,0.0005979582887165359,-0.005470194819307328
appet,7,0.5231540142782746,0.9783037475345168,0.02702702702702703,0.47364786444296836,0.5099213915781963,0.0006188675095710194,-0.0022266235283987523
htn,7,0.5228136648254991,0.9783037475345168,0.02494802494802495,0.47242274760573344,0.5059930207859202,0.0007172289819105445,-0.0025669729811742537
sc,7,0.5190575190575191,0.9743589743589743,0.0395010395010395,0.47785194942899517,0.5126441872004002,1.4517399565198985e-05,-0.006323118749154255
