budget,metric,pairs,mean_delta_qsvc_minus_classical,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_value
6,sensitivity,50,-0.021000000000000005,-0.02801250000000001,-0.014000000000000007,9.696284872674356e-06
6,specificity,50,-0.009166666666666663,-0.019166666666666655,-0.0008333333333333304,0.06935782806073354
6,roc_auc,50,-0.0049791666666666725,-0.006729166666666646,-0.003354166666666676,3.104418999832292e-06
6,f1,50,-0.013449613665397408,-0.017891724945115327,-0.009130519576282472,3.2348576790340372e-06
8,sensitivity,50,-0.015000000000000006,-0.02250000000000001,-0.008500000000000006,7.058019340662208e-05
8,specificity,50,-0.02,-0.03083333333333333,-0.010833333333333332,0.0007937705451268777
8,roc_auc,50,-0.00064583333333333,-0.0011666666666666715,-0.0002291666666666603,0.004892240901835026
8,f1,50,-0.0135676313447273,-0.017625782545567056,-0.009702327192114333,1.4760286997863057e-06
