model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds
classical_rbf_svm,0.5080971659919028,0.9861932938856016,0.004158004158004158,0.5107252298263534,0.6729475100942126,0.5105651851213981,0.5184339495755234,2,479,7,500,0.0015310419985326007
qsvc,0.5141700404858299,0.9921104536489151,0.010395010395010396,0.5137895812053116,0.676985195154778,0.5253806378066733,0.5445994910351473,5,476,4,503,4.416090874990914
