model,threshold,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical_rbf_svm,1.6908479350218002,0.515,0.224,1.0,1.0,0.3660130718954248,1.0,1.0,1200,0,1552,448
classical_rbf_svm,1.717560325855543,0.495,0.192,1.0,1.0,0.3221476510067114,1.0,1.0,1200,0,1616,384
classical_rbf_svm,1.7495710047216921,0.475,0.16,1.0,1.0,0.27586206896551724,1.0,1.0,1200,0,1680,320
classical_rbf_svm,1.7789317600457404,0.455,0.128,1.0,1.0,0.22695035460992907,1.0,1.0,1200,0,1744,256
classical_rbf_svm,1.8165618626158098,0.435,0.096,1.0,1.0,0.17518248175182483,1.0,1.0,1200,0,1808,192
classical_rbf_svm,1.851511715222974,0.415,0.064,1.0,1.0,0.12030075187969924,1.0,1.0,1200,0,1872,128
classical_rbf_svm,1.9106311152712208,0.395,0.032,1.0,1.0,0.06201550387596899,1.0,1.0,1200,0,1936,64
qsvc,-1.5265336853049676,0.645,1.0,0.05333333333333334,0.6377551020408163,0.778816199376947,0.9991204166666666,0.999486699577997,64,1136,0,2000
qsvc,-1.4742167209002461,0.665,1.0,0.10666666666666667,0.6510416666666666,0.7886435331230284,0.9991204166666666,0.999486699577997,128,1072,0,2000
qsvc,-1.4311117325115734,0.685,1.0,0.16,0.6648936170212766,0.7987220447284346,0.9991204166666666,0.999486699577997,192,1008,0,2000
qsvc,-1.390983815473881,0.705,1.0,0.21333333333333335,0.6793478260869565,0.8090614886731392,0.9991204166666666,0.999486699577997,256,944,0,2000
qsvc,-1.360653517691159,0.725,1.0,0.26666666666666666,0.6944444444444444,0.819672131147541,0.9991204166666666,0.999486699577997,320,880,0,2000
qsvc,-1.3262138315958412,0.745,1.0,0.32,0.7102272727272727,0.8305647840531561,0.9991204166666666,0.999486699577997,384,816,0,2000
qsvc,-1.2753282606782694,0.765,1.0,0.37333333333333335,0.7267441860465116,0.8417508417508418,0.9991204166666666,0.999486699577997,448,752,0,2000
qsvc,-1.2413319597621952,0.785,1.0,0.4266666666666667,0.7440476190476191,0.8532423208191127,0.9991204166666666,0.999486699577997,512,688,0,2000
qsvc,-1.199745900362102,0.805,1.0,0.48,0.7621951219512195,0.8650519031141869,0.9991204166666666,0.999486699577997,576,624,0,2000
