model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds,budget,repeat,fold,fit_seconds
qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,0.9979166666666666,0.998809523809524,22,2,0,40,0.30178066600637976,8,6,1,0.4605717079975875
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.000254625003435649,8,6,2,0.0016494580049766228
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.1252026250003837,8,6,2,0.5697348329995293
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023987499298527837,8,6,3,0.002222916009486653
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.24976970799616538,8,6,3,0.42610658300691284
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0003653330059023574,8,6,4,0.0007680419948883355
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.13315945799695328,8,6,4,0.5732027919875691
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00029266701312735677,8,6,5,0.0028163330134702846
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.24584995800978504,8,6,5,0.45168324999394827
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002804589894367382,8,7,1,0.0009213750017806888
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.12624374999722932,8,7,1,0.5861520420003217
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002733750006882474,8,7,2,0.0033968330099014565
qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.2601524170022458,8,7,2,0.5096104580006795
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002500420087017119,8,7,3,0.0008206250058719888
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.12226658299914561,8,7,3,0.5496043750026729
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00029929200536571443,8,7,4,0.0028864170017186552
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.266995208003209,8,7,4,0.46746295801131055
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00028587500855792314,8,7,5,0.0008665839995956048
qsvc,0.9375,0.9,1.0,1.0,0.9473684210526315,0.9937499999999999,0.9963400116144019,24,0,4,36,0.11976841698924545,8,7,5,0.5297441659931792
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00033495899697300047,8,8,1,0.00297816599777434
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.2522965829994064,8,8,1,0.4591384169907542
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022783300664741546,8,8,2,0.0022602079989155754
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.12494587499531917,8,8,2,0.5318599159945734
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0005290419940138236,8,8,3,0.0011244170018471777
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,0.9989583333333334,0.999390243902439,23,1,0,40,0.25305983300495427,8,8,3,0.5272558330034371
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00024370799656026065,8,8,4,0.00482120800006669
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.1354613339935895,8,8,4,0.5372213749942603
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00048141699517145753,8,8,5,0.0027205829974263906
qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.21877262499765493,8,8,5,0.5692720420047408
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002692500129342079,8,9,1,0.0009014170063892379
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.11694891599472612,8,9,1,0.5266239589982433
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.000567750001209788,8,9,2,0.0014205409970600158
qsvc,0.953125,0.975,0.9166666666666666,0.9512195121951219,0.9629629629629629,0.9979166666666667,0.9988095238095239,22,2,1,39,0.25189670799591113,8,9,2,0.404344750000746
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022499999613501132,8,9,3,0.0029523749981308356
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.12186608300544322,8,9,3,0.5596420000074431
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.000348917004885152,8,9,4,0.0016453749994980171
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.24779445900639985,8,9,4,0.4405698329937877
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002447500010021031,8,9,5,0.0008806669939076528
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.12614004100032616,8,9,5,0.5281919170083711
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0016505410021636635,8,10,1,0.0011555829987628385
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.26581300000543706,8,10,1,0.49473870800284203
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002487079909769818,8,10,2,0.0014040410023881122
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.12014749999798369,8,10,2,0.5425757499906467
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00029712499235756695,8,10,3,0.0010375419951742515
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.17510645900620148,8,10,3,0.40729191699938383
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002170000079786405,8,10,4,0.0009094999986700714
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.999390243902439,24,0,1,39,0.11674191600468475,8,10,4,0.4245423749962356
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00020970799960196018,8,10,5,0.0007711660000495613
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.14695249999931548,8,10,5,0.3689792500081239
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021754199406132102,6,1,1,0.0007040829950710759
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,24,0,0,40,0.09366716700606048,6,1,1,0.3448308340011863
classical_rbf_svm,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0000000000000002,22,2,0,40,0.000224959003389813,6,1,2,0.0006706669955747202
qsvc,0.953125,0.975,0.9166666666666666,0.9512195121951219,0.9629629629629629,0.990625,0.9954081632653062,22,2,1,39,0.14044733300397638,6,1,2,0.2871728750033071
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022445799550041556,6,1,3,0.0006525839999085292
